method,best_epoch,mean_foreground_3d_dice,mean_foreground_slice_dice,esophagus_3d_dice,heart_3d_dice,trachea_3d_dice,aorta_3d_dice
CE,24,0.5240809372569631,0.741019606590271,0.3158032609687985,0.7939806394852786,0.48994088930569735,0.49659895926807796
Dice,24,0.5525350565482552,0.42522868514060974,0.4613151493380981,0.6689828632124122,0.4850021821368701,0.5948400315056401
CE + Dice,21,0.6131796598873993,0.7190986275672913,0.442959165256512,0.81448618960404,0.6543413080646601,0.5409319766243847
