epoch,mean_foreground_3d_dice,esophagus_3d_dice,heart_3d_dice,trachea_3d_dice,aorta_3d_dice
0,0.0,0.0,0.0,0.0,0.0
1,0.029300723286768825,0.0,0.1172028931470753,0.0,0.0
2,0.13521085860622462,0.0,0.5408434344248985,0.0,0.0
3,0.19800265360290453,0.0,0.7920106144116181,0.0,0.0
4,0.2258151592672503,0.0,0.6478355387000585,0.0,0.25542509836894267
5,0.2815879989740621,0.0,0.7397236942086705,0.0,0.386628301687578
6,0.2252417893701019,0.0,0.6699543737705077,0.0,0.23101278370989978
7,0.22256094511547855,0.0,0.5568377099934181,0.0,0.33340607046849624
8,0.221987043855666,0.0,0.5150143243497477,0.01768800629566549,0.35524584477725085
9,0.18725052927328134,0.0,0.4984359321999635,0.00015885623510722796,0.2504073286580546
10,0.3237072499043766,0.0,0.7253847566762424,0.2368267649278061,0.3326174780134578
11,0.38121683528989664,0.0,0.7814228321428806,0.32324753412106083,0.42019697489564506
12,0.3616121835172609,0.016204729387250295,0.648686728464537,0.39559076528460463,0.3859665109326515
13,0.42701941774410007,0.09751954755070208,0.7801351083656987,0.3745055048392096,0.45591751022078997
14,0.38551666008839713,0.05978422193440751,0.6973037460848157,0.40814742853790265,0.376831243796463
15,0.39106730475970064,0.1405663931729401,0.6134417581620211,0.3861944963447369,0.4240665713591044
16,0.4413982757734363,0.0846080074117235,0.7312048884581497,0.48710309003818714,0.4626771171856851
17,0.35009382315993537,0.16941064616979393,0.5590211674923015,0.354491668399121,0.3174518105785251
18,0.45464494893278984,0.1354601423985119,0.7833746353494774,0.42538324848840886,0.47436176949476117
19,0.42985142088504286,0.14004918030539465,0.7409876200072736,0.341933720060495,0.49643516316700814
20,0.36400012294411865,0.0710122647283834,0.648567291836317,0.21835699896622346,0.518063936245551
21,0.4517982985829335,0.21832142957833311,0.7386072783637376,0.36790459622781385,0.4823598901618493
22,0.4656565868383719,0.3138110315800714,0.6124446166481039,0.45209796881687964,0.4842727303084323
23,0.43754173295241905,0.2854807754013604,0.5893580334880887,0.44543366594257006,0.4298944569776576
24,0.5240809372569631,0.3158032609687985,0.7939806394852786,0.48994088930569735,0.49659895926807796
